ATP-synt_ab_N	507	507		0.98016	1.00000	0.98028
MMR_HSR1	854	854		0.97150	1.00000	0.97190
His_biosynth	489	489		0.98351	0.75000	0.98160
Aminotran_1_2	567	567		0.97331	0.80000	0.97178
ABC_tran	1259	1259		0.97430	1.00000	0.97458
GHMP_kinases_N	453	453		0.97982	0.42857	0.97130
GTP_EFTU_D2	458	458		0.97807	1.00000	0.97817
Radical_SAM	1040	1040		0.97760	0.84615	0.97596
WD40	894	894		0.97622	1.00000	0.97651
EPSP_synthase	475	475		0.97650	0.85714	0.97474
Mur_ligase_M	617	617		0.98361	0.71429	0.98055
CTP_transf_like	536	536		0.97744	1.00000	0.97761
Aminotran_3	429	429		0.95724	1.00000	0.95804
Pkinase	725	725		0.98050	0.85714	0.97931
Aldedh	454	454		0.97987	0.85714	0.97797
Amidohydro_1	479	479		0.96632	0.75000	0.96451
Pribosyltran	761	761		0.97477	0.75000	0.97240
GATase	598	598		0.97627	0.75000	0.97324
AA_kinase	484	484		0.95833	0.75000	0.95661
Helicase_C	469	469		0.97835	0.57143	0.97228
AIRS_C	434	434		0.96721	0.85714	0.96544
tRNA-synt_His	405	405		0.96500	1.00000	0.96543
tRNA_anti-codon	634	634		0.96800	0.77778	0.96530
tRNA-synt_2b	536	536		0.97753	0.50000	0.97575
MFS_1	429	429		0.96471	1.00000	0.96503
zf-C2H2	137	137		0.97037	1.00000	0.97080
